forward_genome_id	backward_genome_id
WP_186516145	WP_011377921
WP_193924236	WP_011377921
WP_194015759	WP_011377921
WP_108935825	WP_011377921
MBE9102263	WP_011377921
WP_106220340	WP_011377921
WP_190635367	WP_011377921
WP_186989137	WP_011377921
WP_137666275	WP_011377921
WP_194002365	WP_011377921
REJ49750	WP_011377921
WP_194008105	WP_011377921
WP_052276077	WP_011377921
NJN86861	WP_011377921
WP_081694495	WP_011377921
WP_193872879	WP_011377921
MBC6479051	WP_011377921
WP_190371183	WP_011377921
WP_096656128	WP_011377921
PLS68071	WP_011377921
WP_103112530	WP_011377921
WP_015173270	WP_011377921
WP_039739976	WP_011377921
WP_106456915	WP_011377921
NEQ68506	WP_011377921
MAV09977	WP_011377921
WP_065713015	WP_011377921
GBE76079	WP_011377921
WP_192155235	WP_011377921
RMH67820	WP_011377921
WP_194023333	WP_011377921
WP_174711930	WP_011377921
WP_023071596	WP_011377921
MBF2025885	WP_011377921
WP_187038730	WP_011377921
TRU95172	WP_011377921
MBA3920290	WP_011377921
WP_011056332	WP_011377921
WP_168645508	WP_011377921
WP_190668185	WP_011377921
NJL82906	WP_011377921
HBE18231	WP_011377921
WP_190576008	WP_011377921
WP_094588486	WP_011377921
WP_082348718	WP_011377921
NCS23944	WP_011377921
WP_119259530	WP_011377921
NEO61012	WP_011377921
WP_096546686	WP_011377921
WP_190485966	WP_011377921
WP_198288507	WP_011377921
NJL36361	WP_011377921
VXD20011	WP_011377921
NER83073	WP_011377921
NEO13621	WP_011377921
WP_041922980	WP_011377921
WP_038553310	WP_011377921
WP_157871882	WP_011377921
MBD0268886	WP_011377921
RPF77184	WP_011377921
WP_044000029	WP_011377921
PWL22116	WP_011377921
WP_044304991	WP_011377921
HGG00823	WP_011377921
WP_190405950	WP_011377921
WP_046662387	WP_011377921
WP_006632118	WP_011377921
WP_071846782	WP_011377921
WP_011365072	WP_011377921
WP_186471857	WP_011377921
WP_190533618	WP_011377921
WP_190835629	WP_011377921
WP_193971461	WP_011377921
MBE9050520	WP_011377921
BAP17209	WP_011377921
WP_190342582	WP_011377921
WP_169266310	WP_011377921
WP_191127107	WP_011377921
WP_190646254	WP_011377921
WP_028090776	WP_011377921
TRU52812	WP_011377921
WP_144864199	WP_011377921
RCJ27843	WP_011377921
WP_115125551	WP_011377921
BAW96053	WP_011377921
WP_072619352	WP_011377921
WP_015785211	WP_011377921
NDD44906	WP_011377921
NCO74143	WP_011377921
HIK37530	WP_011377921
RCJ16730	WP_011377921
WP_073074649	WP_011377921
WP_190947947	WP_011377921
RCL58935	WP_011377921
WP_082127458	WP_011377921
RCJ31011	WP_011377921
NJN72398	WP_011377921
WP_190986794	WP_011377921
NCQ70057	WP_011377921
HGW93078	WP_011377921
TAE15859	WP_011377921
WP_011242646	WP_011377921
NJL91613	WP_011377921
WP_094348127	WP_011377921
1M2E_A	WP_011377921
WP_088242024	WP_011377921
NDG75523	WP_011377921
WP_193883935	WP_011377921
WP_073634260	WP_011377921
KJH70362	WP_011377921
CUR35924	WP_011377921
WP_083617809	WP_011377921
NEO83712	WP_011377921
WP_010874241	WP_011377921
AFZ55364	WP_011377921
WP_197212914	WP_011377921
WP_015110637	WP_011377921
NES06427	WP_011377921
WP_169156041	WP_011377921
WP_015167869	WP_011377921
WP_190493761	WP_011377921
KKJ01719	WP_011377921
MBD0312417	WP_011377921
TAE70562	WP_011377921
WP_002797987	WP_011377921
WP_015133072	WP_011377921
TVQ09215	WP_011377921
RMF64893	WP_011377921
KPQ36922	WP_011377921
GDZ94774	WP_011377921
WP_168568046	WP_011377921
WP_006853591	WP_011377921
WP_190524552	WP_011377921
NES64523	WP_011377921
MBF2078387	WP_011377921
WP_084173285	WP_011377921
WP_011317868	WP_011377921
WP_114989468	WP_011377921
WP_159248999	WP_011377921
WP_035799393	WP_011377921
MBH8551986	WP_011377921
WP_190878428	WP_011377921
TRU66929	WP_011377921
NCR07033	WP_011377921
WP_015140002	WP_011377921
WP_190497572	WP_011377921
WP_084762172	WP_011377921
NBU76904	WP_011377921
KOR38116	WP_011377921
WP_190430261	WP_011377921
WP_190618386	WP_011377921
WP_115093191	WP_011377921
WP_105222106	WP_011377921
WP_035825446	WP_011377921
MBA4733228	WP_011377921
BAD21218	WP_011377921
WP_192221469	WP_011377921
MBE9015775	WP_011377921
NEP57001	WP_011377921
WP_029633056	WP_011377921
WP_045361375	WP_011377921
WP_193858735	WP_011377921
WP_148202800	WP_011377921
WP_186493795	WP_011377921
MBE9176160	WP_011377921
WP_011359362	WP_011377921
WP_190370552	WP_011377921
WP_052128643	WP_011377921
WP_146295555	WP_011377921
WP_017317016	WP_011377921
NJL53218	WP_011377921
WP_162329390	WP_011377921
WP_144053970	WP_011377921
NMG60772	WP_011377921
WP_066425298	WP_011377921
NET00163	WP_011377921
NCJ07596	WP_011377921
WP_190727729	WP_011377921
NEP48764	WP_011377921
WP_190445931	WP_011377921
WP_106233142	WP_011377921
TRV04841	WP_011377921
MBD1215656	WP_011377921
BAZ31972	WP_011377921
WP_186509992	WP_011377921
NCS28661	WP_011377921
OOV35444	WP_011377921
MBF2008731	WP_011377921
TRT55310	WP_011377921
MBF2037195	WP_011377921
WP_190377057	WP_011377921
PZO56371	WP_011377921
MBF2089913	WP_011377921
WP_193946986	WP_011377921
AAV88030	WP_011377921
NJK29861	WP_011377921
WP_083883883	WP_011377921
NKB17366	WP_011377921
WP_155084496	WP_011377921
MBD1823478	WP_011377921
WP_041804118	WP_011377921
WP_186513825	WP_011377921
BAD21211	WP_011377921
WP_069069133	WP_011377921
WP_106306280	WP_011377921
NJK55510	WP_011377921
